file_year,age_group,sex,race,claim_type,total_payment,mean_payment
2009,65-74,Male,Hispanic,Inpatient,1736700,4732.1525885558585
2009,65-74,Male,Hispanic,Outpatient,487740,1328.991825613079
2009,65-74,Male,Hispanic,PDE,996410,2715.013623978202
2009,65-74,Male,Other,Inpatient,3754200,3592.535885167464
2009,65-74,Male,Other,Outpatient,1378380,1319.0239234449762
2009,65-74,Male,Other,PDE,2460660,2354.6985645933014
2009,65-74,Male,White,Inpatient,81377050,4565.588532315978
2009,65-74,Male,White,Outpatient,28461370,1596.800381508079
2009,65-74,Male,White,PDE,39186710,2198.5362432675047
2009,75-84,Female,Black,Inpatient,10660500,6084.760273972603
2009,75-84,Female,Black,Outpatient,3881770,2215.6221461187215
2009,75-84,Female,Black,PDE,6234700,3558.6187214611873
2009,75-84,Female,Hispanic,Inpatient,2191200,4826.431718061674
2009,75-84,Female,Hispanic,Outpatient,892720,1966.3436123348017
2009,75-84,Female,Hispanic,PDE,1979960,4361.145374449339
2009,75-84,Female,Other,Inpatient,3144200,4148.02110817942
2009,75-84,Female,Other,Outpatient,1350590,1781.7810026385225
2009,75-84,Female,Other,PDE,2834360,3739.261213720317
2009,75-84,Female,White,Inpatient,99469710,6111.810138248848
2009,75-84,Female,White,Outpatient,34798880,2138.1800307219664
2009,75-84,Female,White,PDE,52761930,3241.900460829493
2009,75-84,Male,Black,Inpatient,6484100,5804.923903312444
2009,75-84,Male,Black,Outpatient,2092670,1873.4735899731425
2009,75-84,Male,Black,PDE,2710790,2426.8487018800356
2009,75-84,Male,Hispanic,Inpatient,1379000,4363.9240506329115
2009,75-84,Male,Hispanic,Outpatient,558530,1767.5
2009,75-84,Male,Hispanic,PDE,1138310,3602.246835443038
2009,75-84,Male,Other,Inpatient,2459200,4168.135593220339
2009,75-84,Male,Other,Outpatient,958580,1624.7118644067796
2009,75-84,Male,Other,PDE,2025390,3432.864406779661
2009,75-84,Male,White,Inpatient,78513870,6269.072979878633
2009,75-84,Male,White,Outpatient,25081710,2002.6916320664325
2009,75-84,Male,White,PDE,31340430,2502.4297349089748
2009,85+,Female,Black,Inpatient,6187700,6479.267015706806
2009,85+,Female,Black,Outpatient,2068370,2165.832460732984
2009,85+,Female,Black,PDE,3276280,3430.6596858638745
2009,85+,Female,Hispanic,Inpatient,1640900,6485.770750988142
2009,85+,Female,Hispanic,Outpatient,409330,1617.905138339921
2009,85+,Female,Hispanic,PDE,1277850,5050.790513833992
2009,85+,Female,Other,Inpatient,1912500,4805.276381909548
2009,85+,Female,Other,Outpatient,699210,1756.8090452261306
2009,85+,Female,Other,PDE,1517410,3812.5879396984924
2009,85+,Female,White,Inpatient,74439010,7490.341114912458
2009,85+,Female,White,Outpatient,24276400,2442.7852686657275
2009,85+,Female,White,PDE,36025750,3625.0503119339905
2009,85+,Male,Black,Inpatient,2721400,6653.7897310513445
2009,85+,Male,Black,Outpatient,842440,2059.755501222494
2009,85+,Male,Black,PDE,1191630,2913.520782396088
2009,85+,Male,Hispanic,Inpatient,1022000,6011.764705882353
2009,85+,Male,Hispanic,Outpatient,254080,1494.5882352941176
2009,85+,Male,Hispanic,PDE,639070,3759.235294117647
2009,85+,Male,Other,Inpatient,930200,4190.09009009009
2009,85+,Male,Other,Outpatient,300770,1354.8198198198197
2009,85+,Male,Other,PDE,679040,3058.738738738739
2009,85+,Male,White,Inpatient,39118730,7692.96558505408
2009,85+,Male,White,Outpatient,12152390,2389.850540806293
2009,85+,Male,White,PDE,14479230,2847.439528023599
2009,<65,Female,Black,Inpatient,11138600,6449.6815286624205
2009,<65,Female,Black,Outpatient,4567630,2644.8349739432542
2009,<65,Female,Black,PDE,7065660,4091.2912565141864
2009,<65,Female,Hispanic,Inpatient,1378300,4431.832797427653
2009,<65,Female,Hispanic,Outpatient,571120,1836.3987138263665
2009,<65,Female,Hispanic,PDE,1453810,4674.630225080386
2009,<65,Female,Other,Inpatient,1409000,4681.063122923588
2009,<65,Female,Other,Outpatient,633730,2105.4152823920267
2009,<65,Female,Other,PDE,1043310,3466.1461794019933
2009,<65,Female,White,Inpatient,36906040,5986.381184103811
2009,<65,Female,White,Outpatient,14194390,2302.4152473641525
2009,<65,Female,White,PDE,25841500,4191.646390916464
2009,<65,Male,Black,Inpatient,9809400,5501.626472237802
2009,<65,Male,Black,Outpatient,3831880,2149.119461581604
2009,<65,Male,Black,PDE,5322650,2985.2215367358385
2009,<65,Male,Hispanic,Inpatient,1702700,4457.3298429319375
2009,<65,Male,Hispanic,Outpatient,679470,1778.717277486911
2009,<65,Male,Hispanic,PDE,1487530,3894.057591623037
2009,<65,Male,Other,Inpatient,2025600,5038.805970149254
2009,<65,Male,Other,Outpatient,1155150,2873.507462686567
2009,<65,Male,Other,PDE,1234580,3071.094527363184
2009,<65,Male,White,Inpatient,37239520,5366.6983715232745
2009,<65,Male,White,Outpatient,13081950,1885.2788586251622
2009,<65,Male,White,PDE,23361760,3366.7329586395736
