file_year,age_group,sex,race,claim_type,total_events,mean_events
2008,85+,Female,Other,Inpatient,169,0.5168195718654435
2008,85+,Female,Other,Outpatient,2027,6.198776758409786
2008,85+,Female,Other,PDE,20219,61.83180428134557
2008,85+,Female,White,Inpatient,6843,0.7890913284132841
2008,85+,Female,White,Outpatient,71392,8.232472324723247
2008,85+,Female,White,PDE,504390,58.16305350553505
2008,85+,Male,Black,Inpatient,239,0.746875
2008,85+,Male,Black,Outpatient,2068,6.4625
2008,85+,Male,Black,PDE,15370,48.03125
2008,85+,Male,Hispanic,Inpatient,87,0.6170212765957447
2008,85+,Male,Hispanic,Outpatient,816,5.787234042553192
2008,85+,Male,Hispanic,PDE,9210,65.31914893617021
2008,85+,Male,Other,Inpatient,88,0.49162011173184356
2008,85+,Male,Other,Outpatient,868,4.849162011173185
2008,85+,Male,Other,PDE,9254,51.69832402234637
2008,85+,Male,White,Inpatient,3461,0.8367988394584139
2008,85+,Male,White,Outpatient,33016,7.982591876208898
2008,85+,Male,White,PDE,190941,46.16561895551257
2008,<65,Female,Black,Inpatient,1244,0.6808976464148878
2008,<65,Female,Black,Outpatient,14746,8.071154898741106
2008,<65,Female,Black,PDE,114835,62.8544061302682
2008,<65,Female,Hispanic,Inpatient,156,0.48598130841121495
2008,<65,Female,Hispanic,Outpatient,2129,6.632398753894081
2008,<65,Female,Hispanic,PDE,22886,71.29595015576324
2008,<65,Female,Other,Inpatient,190,0.5671641791044776
2008,<65,Female,Other,Outpatient,2214,6.608955223880597
2008,<65,Female,Other,PDE,17839,53.25074626865672
2008,<65,Female,White,Inpatient,4181,0.6384180790960452
2008,<65,Female,White,Outpatient,51107,7.803786837685143
2008,<65,Female,White,PDE,417385,63.73263093602077
2008,<65,Male,Black,Inpatient,1086,0.5746031746031746
2008,<65,Male,Black,Outpatient,11730,6.2063492063492065
2008,<65,Male,Black,PDE,86651,45.84708994708995
2008,<65,Male,Hispanic,Inpatient,182,0.4538653366583541
2008,<65,Male,Hispanic,Outpatient,2540,6.334164588528679
2008,<65,Male,Hispanic,PDE,23345,58.21695760598504
2008,<65,Male,Other,Inpatient,225,0.5232558139534884
2008,<65,Male,Other,Outpatient,2814,6.544186046511628
2008,<65,Male,Other,PDE,19864,46.1953488372093
2008,<65,Male,White,Inpatient,4258,0.5779828967015067
2008,<65,Male,White,Outpatient,49655,6.74019275145921
2008,<65,Male,White,PDE,373418,50.687932672729744
2009,65-74,Female,Black,Inpatient,1089,0.4552675585284281
2009,65-74,Female,Black,Outpatient,14159,5.919314381270903
2009,65-74,Female,Black,PDE,114194,47.73996655518395
2009,65-74,Female,Hispanic,Inpatient,164,0.37104072398190047
2009,65-74,Female,Hispanic,Outpatient,2374,5.3710407239819
2009,65-74,Female,Hispanic,PDE,28687,64.9027149321267
2009,65-74,Female,Other,Inpatient,403,0.3501303214596003
2009,65-74,Female,Other,Outpatient,5857,5.088618592528237
2009,65-74,Female,Other,PDE,53896,46.82536924413554
2009,65-74,Female,White,Inpatient,9418,0.469210840972499
2009,65-74,Female,White,Outpatient,129023,6.428009166998804
2009,65-74,Female,White,PDE,907207,45.19763850139498
2009,65-74,Male,Black,Inpatient,880,0.43585933630510154
2009,65-74,Male,Black,Outpatient,10374,5.1381872213967315
2009,65-74,Male,Black,PDE,70614,34.974739970282315
2009,65-74,Male,Hispanic,Inpatient,158,0.4305177111716621
2009,65-74,Male,Hispanic,Outpatient,1647,4.487738419618529
2009,65-74,Male,Hispanic,PDE,16622,45.29155313351499
2009,65-74,Male,Other,Inpatient,382,0.36555023923444974
2009,65-74,Male,Other,Outpatient,4665,4.464114832535885
2009,65-74,Male,Other,PDE,42015,40.20574162679426
2009,65-74,Male,White,Inpatient,8324,0.46701077199281865
2009,65-74,Male,White,Outpatient,104636,5.870511669658887
2009,65-74,Male,White,PDE,654991,36.74769973070018
2009,75-84,Female,Black,Inpatient,1143,0.6523972602739726
2009,75-84,Female,Black,Outpatient,12499,7.1341324200913245
2009,75-84,Female,Black,PDE,102127,58.291666666666664
2009,75-84,Female,Hispanic,Inpatient,231,0.5088105726872246
2009,75-84,Female,Hispanic,Outpatient,3085,6.795154185022026
2009,75-84,Female,Hispanic,PDE,33299,73.34581497797357
2009,75-84,Female,Other,Inpatient,326,0.43007915567282323
2009,75-84,Female,Other,Outpatient,4897,6.46042216358839
2009,75-84,Female,Other,PDE,47104,62.142480211081796
2009,75-84,Female,White,Inpatient,10436,0.6412288786482335
2009,75-84,Female,White,Outpatient,123315,7.576958525345622
2009,75-84,Female,White,PDE,867565,53.306605222734255
2009,75-84,Male,Black,Inpatient,653,0.5846016114592659
2009,75-84,Male,Black,Outpatient,6725,6.020590868397493
2009,75-84,Male,Black,PDE,44939,40.23187108325873
2009,75-84,Male,Hispanic,Inpatient,141,0.4462025316455696
2009,75-84,Male,Hispanic,Outpatient,1810,5.727848101265823
2009,75-84,Male,Hispanic,PDE,18838,59.61392405063291
2009,75-84,Male,Other,Inpatient,271,0.45932203389830506
2009,75-84,Male,Other,Outpatient,3621,6.13728813559322
2009,75-84,Male,Other,PDE,33168,56.21694915254237
2009,75-84,Male,White,Inpatient,8002,0.638933248163526
2009,75-84,Male,White,Outpatient,90263,7.207202171830086
2009,75-84,Male,White,PDE,519671,41.494011497923985
2009,85+,Female,Black,Inpatient,685,0.7172774869109948
2009,85+,Female,Black,Outpatient,6773,7.092146596858639
2009,85+,Female,Black,PDE,53713,56.24397905759162
2009,85+,Female,Hispanic,Inpatient,174,0.6877470355731226
2009,85+,Female,Hispanic,Outpatient,1673,6.612648221343873
2009,85+,Female,Hispanic,PDE,20652,81.62845849802372
2009,85+,Female,Other,Inpatient,205,0.5150753768844221
2009,85+,Female,Other,Outpatient,2553,6.414572864321608
2009,85+,Female,Other,PDE,24567,61.72613065326633
2009,85+,Female,White,Inpatient,7860,0.7909036023344738
2009,85+,Female,White,Outpatient,82274,8.278728114308715
2009,85+,Female,White,PDE,580171,58.37905011068626
2009,85+,Male,Black,Inpatient,321,0.784841075794621
2009,85+,Male,Black,Outpatient,2742,6.704156479217604
2009,85+,Male,Black,PDE,19550,47.79951100244499
2009,85+,Male,Hispanic,Inpatient,107,0.6294117647058823
2009,85+,Male,Hispanic,Outpatient,996,5.858823529411764
2009,85+,Male,Hispanic,PDE,11235,66.08823529411765
2009,85+,Male,Other,Inpatient,113,0.509009009009009
2009,85+,Male,Other,Outpatient,1162,5.2342342342342345
2009,85+,Male,Other,PDE,11080,49.909909909909906
2009,85+,Male,White,Inpatient,4149,0.815929203539823
2009,85+,Male,White,Outpatient,41030,8.06882989183874
2009,85+,Male,White,PDE,235746,46.36106194690265
2009,<65,Female,Black,Inpatient,1188,0.6878980891719745
2009,<65,Female,Black,Outpatient,13957,8.081644470179501
2009,<65,Female,Black,PDE,110729,64.11638679791547
2009,<65,Female,Hispanic,Inpatient,152,0.4887459807073955
2009,<65,Female,Hispanic,Outpatient,2092,6.726688102893891
2009,<65,Female,Hispanic,PDE,22303,71.71382636655949
2009,<65,Female,Other,Inpatient,175,0.5813953488372093
2009,<65,Female,Other,Outpatient,2028,6.737541528239203
2009,<65,Female,Other,PDE,15985,53.1063122923588
2009,<65,Female,White,Inpatient,3990,0.6472019464720195
2009,<65,Female,White,Outpatient,48781,7.91257096512571
2009,<65,Female,White,PDE,397623,64.49683698296838
2009,<65,Male,Black,Inpatient,1032,0.5787997756590016
2009,<65,Male,Black,Outpatient,11285,6.329220415030847
2009,<65,Male,Black,PDE,83457,46.807066741447
2009,<65,Male,Hispanic,Inpatient,170,0.44502617801047123
2009,<65,Male,Hispanic,Outpatient,2427,6.353403141361256
2009,<65,Male,Hispanic,PDE,22315,58.416230366492144
2009,<65,Male,Other,Inpatient,209,0.5199004975124378
2009,<65,Male,Other,Outpatient,2677,6.659203980099503
2009,<65,Male,Other,PDE,18767,46.68407960199005
2009,<65,Male,White,Inpatient,4035,0.5814958927799395
2009,<65,Male,White,Outpatient,47304,6.817120622568093
2009,<65,Male,White,PDE,356368,51.357256088773596
